id_visitor,ts_mins,did_search,sent_message,sent_booking_request
0331fa39-455f-4f47-9db2-18ce37ee90e4,247.0,7,0,0
04862ee0-26d8-4f8b-a69d-9a5821d08021,59.0,5,1,0
04b8e876-3afc-41cf-aff9-50b64b4e2ae3,533.0,18,13,3
060a3cd7-a494-4b49-8551-c22c8caacbd7,269.0,4,9,1
06984869-ca80-40f2-b9ed-09676d178a80,291.0,5,8,0
07eac4b7-4750-4b5d-b28a-fda177e63639,63.0,1,1,0
0a02ba2f-e7dc-4242-bde2-def3ea2a59b0,829.0,26,8,4
0a0c565a-f147-4fa6-955b-ef80374b3dbc,129.0,0,3,1
0efe4fb3877e9ff12a05fa4ffe1a9531ff5143ea,120.0,0,0,0
102add08a1cbe9a8e31231911b6520987aac100b,1.0,0,0,0
11471155-e21a-4b7a-ba2a-ade4bc631a7f,221.0,3,10,1
1371175144_wwCCVYK9BT4Z5mCp,25.0,1,0,0
1379147694_YnPRK5kZgEyoimpq,27.0,1,0,0
1384756536_VtJGMxb6jj/Z5Yrl,9.0,0,0,0
1385529313_X3mFkF+I5m3xa82J,0.0,0,0,0
1387877243_s8/QmUxw28xqrUKs,3.0,1,0,0
1391841583_VgYEDM/F0Wb8uCFC,54.0,0,0,0
1392950902_uFXwwQ++pXXl9VTd,18.0,2,0,0
1394319268_NUrIMT78ijJfpnPW,2.0,0,0,0
1394876077_1kvNhvYwFx5mO/ju,80.0,7,0,0
1394916311_bVrUShme5Ph/rIv9,8.0,0,0,0
1395543835_I1SHGem4BQQmyRlD,24.0,2,0,0
1396818465_3A6tSa6kwevlhGJ5,3.0,0,0,0
1397542737_tLarsEyYpWonsVi9,29.0,2,0,0
1398159643_YC6+CxqTvx9xCOhJ,126.0,5,0,0
1398578493_19OLeFDlbjoKFABc,0.0,0,0,0
1398658204_YiyxsJiHF1NeZH4B,0.0,0,0,0
1399096437_87FFE3/t2sd346iM,23.0,0,0,0
1400407570_Jb45iQe/2yGSc6My,3.0,1,0,0
1400714052_8FcrLB4WJmk84/iq,3.0,0,0,0
1400819463_plZOSWyKx74R/owT,0.0,1,0,0
1400917768_950x8jytEikdB3RG,25.0,0,0,0
1400994163_muF8gP9hbVwS9wLo,0.0,0,0,0
1401244881_h2/Az530Ky3F+1E/,3.0,0,0,0
1401339153_7JAZGVeyWNwujJzY,4.0,1,0,0
1401611246_/nQNAbOdclVx/2NX,0.0,0,0,0
1401691402_3cn5E0P7aGbOdLGv,10.0,2,0,0
1401709213_RMGFYUfOraH4Yt43,0.0,0,0,0
1401714003_4w6nEgTDqZZrVhvP,0.0,0,0,0
1401838398_mPLNpepTq0YbjVNO,0.0,0,0,0
1401843834_CM4f0/ByxYpJIqHf,0.0,0,0,0
1401878466_VrBEpjsKRVqJHM6R,26.0,0,0,0
1401886047_X0gs+onCh0croP6x,2.0,0,0,0
1402000477_ckiwtg7DECyAlO+R,0.0,0,0,0
1402016351_khtM61N54ieA84eE,0.0,0,0,0
1402053959_uU279dq8Urt0Igu2,84.0,4,0,0
1402078138_9rkW9462VjeRz0lh,0.0,0,0,0
1402128624_45Eg6vevvwg1jDAo,1.0,0,0,0
1402292065_+neqBiVuLlF8nQXc,19.0,0,0,0
1402299987_ryA1NRUMjnFWFJCR,0.0,0,0,0
1402317918_n03ux+V5QbO4FCqU,4.0,0,0,0
1402487121_SCp5BKziAa2OieO2,0.0,0,0,0
1402561744_h9D/vQ8fFCB3mtW/,0.0,0,0,0
1402691314_Gbt2yDmx37IFECTM,91.0,6,0,0
1402793942_9XP2IgDBfyBdM1Va,15.0,0,0,0
1402887608_qG048ODBPd4BWAwo,0.0,1,0,0
1403061233_L4DxhbY6Hc1+Z2X9,0.0,0,0,0
1403068291_GqYOtOfZF1a4rBX4,0.0,0,0,0
1403167384_BQm8g7123qvk5Ttm,0.0,0,0,0
1403223542_zZLbF/uGYG0oIoFR,2.0,1,0,0
1403331959_x6TI1Bq3n2jItLsM,0.0,0,0,0
1403424499_IBfGHcPfkNzIOwSO,4.0,1,0,0
1403490748_V+EGQuaRX/e5BQmT,0.0,0,0,0
1403527412_Y0kjb3UqjNKhy4MA,0.0,0,0,0
1403605794_JK+uYfOYrAxTjard,0.0,0,0,0
1403758970_kic9AZ+g8f21Taqq,0.0,0,0,0
1403864481_FEcGK2wQoojx/o6r,0.0,0,0,0
1403864808_G0uvFBvlyCGonS0v,5.0,1,0,0
1404045563_+vd0d6vjXi6gXWvm,0.0,0,0,0
1404163885_oAFxvb+vpzXVihBX,0.0,0,0,0
1404198250_iLcYxrInG1QLNrCG,0.0,0,0,0
1404212904_vuxqykoEBQObs18G,2.0,0,0,0
1404271074_H6lpUm5Ar6Q/cJKF,17.0,1,0,0
1404343529_mkQHKWvPCWrFV/xL,12.0,0,0,0
1404344351_uEITatOITsn5wKEC,0.0,0,0,0
1404349115_fZ2L+D32EeyBTk9R,0.0,0,0,0
1404359501_b/Bl8j95OgEwLJDi,0.0,0,0,0
1404453910_ntWJbTsm4DgL2HLG,51.0,0,0,0
1404510839_SKL2DCv+McWwb7hK,1.0,0,0,0
1404701356_Owk134FbxIM+9X8z,14.0,1,0,0
1404775912_7nBt+M2Az3Ck+WFD,5.0,0,0,0
1404779002_ufpBjgW9J2obs9jG,0.0,0,0,0
1404800427_OwaTmBSPHZzIYplI,3.0,1,0,0
1404859694_criHkZ7clWww6ZCa,25.0,3,0,0
1404883732_lsXNfT9yIR1yin+x,54.0,3,0,0
1404902842_8jggaQ8VuVz1Mu+D,0.0,0,0,0
1404921988_sc/CKto1ILXvHgxb,105.0,0,0,0
1405038293_SAH7oynKHMeeQNAK,0.0,0,0,0
1405040552_7X6aqe74OEgnTnhD,1.0,1,0,0
1405076277_fSBZ3dpEWWClDpVn,16.0,2,0,0
1405127344_anD56ZOm5G6Dmao5,0.0,0,0,0
1405167446_tJfxXmOwoo8oOGPd,9.0,0,0,0
1405290294_+qycdHPIIYPe3HMA,0.0,0,0,0
1405300807_fRoAA8sW/+wlm+ua,17.0,4,0,0
1405316720_bXXl0s5s8QMub0k2,2.0,0,0,0
1405329195_NYhR8zZuP8LeeByj,0.0,0,0,0
1405337281_CZi9VEZiq6orkiw1,0.0,0,0,0
1405337496_SIX/lBRgGOMx6S6X,0.0,0,0,0
1405482898_RXqvVfrzmRPAimjX,3.0,2,0,0
1405491142_zPDUYAK/h3x8hNxV,0.0,0,0,0
1405500622_CavXo0KugyKDi96r,12.0,0,0,0
1405553660_j0r15Li2xeqO18eL,8.0,0,0,0
1405634788_u3OB7x3GMdR0XaSK,0.0,0,0,0
1405646035_yHuyPURgUxxyKjmC,5.0,0,0,0
1405665490_QRtQVPDxbfNnP6/i,1.0,0,0,0
1405673714_JWI1UInj04ie+6mb,0.0,0,0,0
1405721841_d3AZsZBMOrcMrOUR,0.0,0,0,0
1405722627_Ox1yvvBW40DQZSWa,0.0,0,0,0
1405729519_OYopjfl9/QLksX+o,12.0,0,0,0
1405861580_uzLq97V/aAVqEV6j,0.0,0,0,0
1405894366_YCfbvFDBZ49Mw0Tn,0.0,0,0,0
1405920890_NoB6pDiz8aQhu+ep,24.0,1,0,0
1405947268_Qbc6YwOF8rrOvN6+,0.0,0,0,0
1405998911_h/JABQ9Og0dJrXhC,0.0,1,0,0
1405999926_1a2r+oQFZY+0T676,109.0,4,0,0
1406106373_d7T5yxjAgannZSoI,0.0,0,0,0
1406190425_mjt4lm6/sLI8vF8v,0.0,0,0,0
1406201571_S81/ABrTixsNkHvZ,0.0,0,0,0
1406230177_R4Lug39oRa5mAi8U,0.0,0,0,0
1406330037_W7Ji/0h16ck5GY9f,0.0,0,0,0
1406350551_dzpszQkgBuwOdtJz,0.0,0,0,0
1406369589_+Q60xsJY1EgZKpb2,0.0,1,0,0
1406372116_JFu2RnEUGBsSARvf,0.0,0,0,0
1406375129_p1yTWMraK5+7x1jU,9.0,0,0,0
1406443561_qwJmnDvUnhZCTuVI,0.0,0,0,0
1406453849_FjN3kzfmaHMB2LX9,0.0,0,0,0
1406454692_gvMb8/GC8x0fvOCZ,0.0,0,0,0
1406617111_18xt1Z3Lbvx2TY0X,0.0,0,0,0
1406678637_c/gYnN2STsgeQJis,0.0,0,0,0
1406954031_LBMBWE5n2hEobY4I,0.0,0,0,0
1407061454_4Xo45ntSJJs6w7Hn,0.0,1,0,0
1407143075_60q1Tt6d1cIon7KI,2.0,0,0,0
1407184054_TEzUxMfz0mgbH0WB,1.0,0,0,0
1407291211_LAZ+v0BiIqZL9CVL,7.0,0,0,0
1407363860_umnChNRBMi5ItBNw,0.0,0,0,0
1407486574_9yNZv517Qaa/0Qzt,0.0,0,0,0
1407500350_PXTT3fpWpmRvaNbi,0.0,0,0,0
1407568088_xswQnBDi3RedoDTv,18.0,0,0,0
1407582283_uuqskiPYA0tNwCP5,3.0,1,0,0
1407645946_A71vauhx0d9bR9rL,0.0,0,0,0
1407667293_ttet1A9ZMjgvqKmS,0.0,0,0,0
1407674089_SkPBZQEDbbMWHon3,0.0,0,0,0
1407674628_W0fYeZZDJvFSeZvt,0.0,0,0,0
1407753109_faQRcrMM6PvPYfHr,0.0,0,0,0
1407970802_cpva4tmMFgLr36J/,15.0,0,0,0
1407999026_DxNysfPEtahz+hXB,2.0,0,0,0
1408013760_UJm4JyUMFfsML6RU,0.0,0,0,0
1408098132_ogch+cyHqeiewckw,5.0,0,0,0
1408161803_HyzN2evhUdWcEXLE,0.0,0,0,0
1408194109_naAeuAKesenz+T3n,0.0,0,0,0
1408326736_eJTCFmhFE201gB81,3.0,0,0,0
1408347490_TuMviy5GzGfFCDr+,0.0,0,0,0
1408401761_KlZrpF2f1QbrYQsT,0.0,0,0,0
1408445628_wHz+I+Zwxc+y95S1,0.0,0,0,0
1408450092_vmH/lXV+OwYF8iq4,5.0,1,0,0
1408515703_HXHL/XI9WB6TeXdG,0.0,0,0,0
1408520724_AZO+q88eXp21HmNl,0.0,0,0,0
1408527976_6W1qQuVqoPVvod6z,7.0,0,0,0
1408571958_eKrS05yEK7X8e/lm,3.0,0,0,0
1408598295_8nw9yJvSm2RwO57D,0.0,0,0,0
1408607505_2cAKsvYApgrlarRR,8.0,0,0,0
1408679750_7bRDzqYL37GnDutS,1.0,0,0,0
1408684122_flD6XZLyiwOKkNn4,42.0,0,0,0
1408923825_GNVUQM1vr73cNH6y,3.0,0,0,0
1408935156_FYPpGo6zJrE3sdHr,129.0,3,0,0
1409112645_cNRL21RTaa4yRYnu,0.0,0,0,0
1409179280_YqAoXnTPTXII7VHt,0.0,0,0,0
1409205306_vbGuCK+fN0uzAP5G,0.0,0,0,0
1409225842_O5Bx9qAhtoviB1xt,5.0,0,0,0
1409381617_m/mx4h54t2GFUyRS,0.0,1,0,0
1409478554_sVWCStCC2H8RfOGB,14.0,0,0,0
1409483050_zBjVK0gc0bNGtyhB,0.0,0,0,0
1409557713_JEuyJaPC3EGLBat/,14.0,1,0,0
1409559577_U0iSKjUpNfTdZwXD,1.0,0,0,0
1409574351_teGXt7f5tGFFLgmR,0.0,0,0,0
1409613683_fV002YtKV4pEUleQ,0.0,0,0,0
1409666573_tTR1hd5ybC+vkGix,19.0,1,0,0
1409701208_ksMyMxCCwc+06tK5,0.0,0,0,0
1409804788_Hz16JPjKjh7Y7Ump,27.0,1,0,0
1409865230_g+tIHFiS9Ywq7S28,2.0,1,0,0
1409893518_2P5fdXQp98UVvX0P,0.0,0,0,0
1409894271_x3w/+J3bjS9Ek5GD,0.0,0,0,0
1409909024_oOYXO1+wNl7IqtU3,36.0,1,0,0
1409935968_gnyLlUgsDf5JpjPr,7.0,0,0,0
1409985713_x0L3zC65Gl/KrZDG,0.0,0,0,0
1410065515_KHzhrUMZ2SKkxL2u,1.0,0,0,0
1410168578_KWfAFg2Ku7QAEvZy,1.0,0,0,0
1410169551_KGOL/pS9bG7R33uO,43.0,1,0,0
1410175752_nsJOCR1gBxExzJMQ,0.0,0,0,0
1410230880_6ZQmn994x9crIgkx,1.0,0,0,0
1410334893_aZ4X5ffGgvogkLLN,6.0,1,0,0
1410389611_Sozn5p6RLs2zNsQy,0.0,0,0,0
1410435308_BukCAqBzJAFPtglX,20.0,0,0,0
1410567231_bUrJzOmKeQpeo6ll,45.0,2,0,0
1410581026_WMNRoGzlU8R8IEqK,0.0,0,0,0
1410614072_Y3A7G0AGft+jALro,0.0,0,0,0
1410643482_kcrKQqsfDpqlfRkK,0.0,0,0,0
1410754782_Qx2mk/N3/b4Wwbsu,0.0,0,0,0
1410766805_PE/DHT4X+l4EcJpD,0.0,0,0,0
1410773730_b8wrjPhC1sOh9LWI,0.0,0,0,0
1410785044_AG0quCuGa5wXQNd2,0.0,0,0,0
1410787362_1s5j2QEzmcl03TAj,6.0,0,0,0
1410865248_Nqsg5G8T5NP77mIo,0.0,1,0,0
1411093337_DKoadIh+Ttx+/QQL,0.0,0,0,0
1411116206_ihWSdGZQGOKlGBG+,45.0,3,0,0
1411192599_8e7MkJJhC+TI9SJk,0.0,0,0,0
1411195671_5ScKpnEl9GGZI5RD,1.0,1,0,0
1411199257_WxQFdm8ciPb5XGsb,68.0,2,0,0
1411215658_EuCx1wUPolQp+0kA,8.0,0,0,0
1411260756_0AaW2MLvpQEdlIYI,4.0,0,0,0
1411334175_gXOmy+RLIRRUVXJG,0.0,0,0,0
1411352513_KbsyZLTkmxFDvhV3,0.0,1,0,0
1411442015_PVMdUbyxncGl5mgQ,0.0,0,0,0
1411442412_DHDpB+0Foj3NuwKk,7.0,1,0,0
1411551515_NvQbrpZk+H67RYQD,0.0,0,0,0
1411901907_Jp6Ui6kkK4WJ4n9r,0.0,0,0,0
1411908583_K4VZDE8qmsQp1sDl,11.0,2,0,0
1411957646_U4fmYwwTaqcDqkAc,0.0,0,0,0
1411979623_x7uUylyCR3L2GlD6,0.0,0,0,0
1412022447_BxqLfEDYFVMljaBF,0.0,0,0,0
1412029988_ON16PwfNeWy4upTg,0.0,0,0,0
1412042288_Y/g6Glk2UVMA3Aj2,11.0,0,0,0
1412210041_33PB9Y6b2oM/I1za,11.0,1,0,0
1412257648_rOIODeH1uMhXNZGx,7.0,0,0,0
1412297351_c3GlEDZCQgU1CmGR,1.0,1,0,0
1412315778_3jjRk83Hvd5O9XP+,0.0,0,0,0
1412491086_XoDwhQNMpa8YZ3Ck,0.0,1,0,0
1412560446_tQGM3GRFDIYu6fRR,0.0,0,0,0
1412583161_kuVZE0cXOW5JJc/A,47.0,1,0,0
1412630063_oImcURfRFB/mqa8n,0.0,0,0,0
1412634043_GCu0eYGCU8D2s4ec,29.0,1,0,0
1412635654_8v/xx8Z37G0YfZT7,2.0,0,0,0
1412637995_7qjnYmkuFeFsocPQ,0.0,0,0,0
1412643895_1k5BerJTKmIQfcZJ,2.0,0,0,0
1412747993_Cm14kewo7PLxy/bt,8.0,1,0,0
1412749949_+el0SVob/BXRhZan,0.0,0,0,0
1412759194_/+aUaLc9++TSr17B,12.0,2,0,0
1412762830_Jb61dGxnrgGbXXa5,10.0,1,0,0
1413185631_kBIkzac+Unpt9UZG,45.0,3,0,0
1413245064_xV1Ll+ewFGPhavMr,0.0,0,0,0
1413265772_/Fkg2I0EEphCuIMP,0.0,0,0,0
1413266778_WAXZW/C/D6cV4CTm,8.0,1,0,0
1413355706_/DVd8wPLPZB+/iOl,0.0,0,0,0
1413605307_6AmHcjwFDO5BP0as,1.0,0,0,0
1413753874_rNVV7I6ji3TXK1s6,10.0,0,0,0
1413774479_N6Lti/IZOuyiTGCc,0.0,0,0,0
1413841145_5l/FCwmAOas5pzNW,0.0,0,0,0
1413923895_VWYdIGp0BcioVPKp,0.0,0,0,0
1413956413_BKF4nCuLWplBmqJV,0.0,0,0,0
1413958442_SK23vyS4pu8Bm0hb,0.0,0,0,0
1413966713_/kCr4rOPtkq0kVWS,7.0,1,0,0
1414042152_U5n+VhhBGSfOyYXb,0.0,0,0,0
1414268164_HIE9/WDeceJSBcy5,0.0,0,0,0
1414271365_EuFmeZ+vsDuryP8F,74.0,4,0,0
1414300047_GlCJ4xwXGtvzcdIe,0.0,0,0,0
1414302515_mFw06yhUPxIGuAOl,0.0,0,0,0
1414379367_zXXzX8T5TJIg/puV,0.0,0,0,0
1414394968_Z0nbfSLmQZ3d2OgW,0.0,1,0,0
1414397268_mC2ZbvZ88V7cU7Q+,39.0,1,0,0
1414462415_WNDSVDzy238lC1+O,2.0,1,0,0
1414464546_ffxuPV9uBDHxpM08,0.0,0,0,0
1414464936_gVq2+fwinjUW4RSK,21.0,1,0,0
1414490388_oqMBJ4N9QkI5lGZq,0.0,0,0,0
1414503114_vEKMuQCi/uGiEn/S,0.0,1,0,0
1414522351_o+BPbScdNFAyAGPV,1.0,0,0,0
1414544610_xOs75SHpVgucbw+Z,6.0,2,0,0
1414584987_GS11jS6Djc1c1Ku6,0.0,0,0,0
1414622636_QR5ipbXOLBFZkqtv,1.0,0,0,0
1414809589_kSVI33i6Hf47SE3k,2.0,0,0,0
1414963921_kJAQSNMbexqmcv46,2.0,0,0,0
1414998492_7C8qD/Zr/SbWEyMP,1.0,0,0,0
1415039430_VAXj/FTpVGJpppLq,0.0,0,0,0
1415055448_eJ28lrKm7KlRrvTu,0.0,0,0,0
1415062270_KePOawdKYtctNfkM,10.0,1,0,0
1415096758_+Qd/G4icdUvOyirF,19.0,0,0,0
1415148684_lzq+1GkuvhhJz/t1,2.0,0,0,0
1415163871_fd1UUEV+u+Y9Neoq,0.0,0,0,0
1415225024_hjG2D37Z7M9BsqkE,0.0,0,0,0
1415251197_ujWbxNgkh/VYi58o,3.0,1,0,0
1415258041_aMS+JjGUYh8CN9XI,108.0,2,0,0
1415263991_YHLQ1DiZxW1pkNia,0.0,1,0,0
1415319276_U83ucrGHTKbki/tC,9.0,0,0,0
1415425688_w1gEjWjoWHgUBa2b,0.0,1,0,0
1415572205_XkP07FWPxaRsp5db,0.0,0,0,0
1415575350_fQYdUB/it4JE4S+O,2.0,0,0,0
1415750432_O/s8UV+uex+NgdYk,0.0,1,0,0
1415818190_kx8/gtAUUPwegSXX,0.0,0,0,0
1415824474_AoMminOhJ7AOyGLI,0.0,0,0,0
1415827151_YSU6+Gsn6vNjFxnP,0.0,0,0,0
1415827864_gL12jFMypcoNr6Ec,0.0,0,0,0
1415837274_WkeIozkmlW0DNBA/,0.0,0,0,0
1415873461_jZyMtPA4S7bIrNCo,0.0,0,0,0
1415888097_nt/rciMeQVTpSOnB,0.0,0,0,0
1415892746_npDqjgX4JmgVSoIM,0.0,0,0,0
1415961669_8BoX8HhL0Mfttlgx,92.0,3,0,0
1415975434_kvaUqgJJgb5WiHcV,0.0,0,0,0
1415981440_aj163+O2ImcmiWg0,0.0,0,0,0
1415994073_MIDQX9fDFofBf3kV,0.0,0,0,0
1416002624_BE7HtoR3s8j91GUi,0.0,0,0,0
1416012256_dB6ft6mhjVRXX48c,0.0,0,0,0
1416016184_Z/cnbyWJhC2AdmUn,40.0,0,0,0
1416020270_zLTVjLroJHrdsqQE,0.0,0,0,0
1416024700_RnTInKCjB+Hs9veZ,0.0,0,0,0
1416025346_LWI9gzYJ4n3/KOx0,0.0,0,0,0
1416028090_f3Gu2rGkD5nUnGS+,0.0,0,0,0
1416031461_sglxYBnHXoRWTcz9,2.0,0,0,0
1416031687_pgWXSekUCn9mqRzr,5.0,2,0,0
1416046414_0uWvARecx9tYl1d0,0.0,0,0,0
1416048308_sY9dWMYY82xUR1uG,0.0,0,0,0
1416103955_C/Z2dB5ibRRCiEEY,1.0,0,0,0
1416127231_hbvmLM1YN/M6yLmV,0.0,0,0,0
1416205017_lnx395QlX8ZmHkrA,0.0,0,0,0
1416288501_4p40wi+uOa36BTH4,0.0,0,0,0
1416348220_Gd68oC+y16pVYXdb,0.0,0,0,0
1416383114_N++XkKY4d+xY70zt,1.0,1,0,0
1416483064_mMfL62KW1eMRWCiQ,0.0,0,0,0
1416527548_/IQcQTbAlL7WlOlK,0.0,0,0,0
1416536767_uaIK/5PhbDf6ZlMf,1.0,0,0,0
1416554177_CB3yAy7FpuKF29UC,6.0,1,0,0
1416606563_VuFNIG47he7WSfeI,0.0,0,0,0
1416609935_eQa7Xe5mi6oLXH/T,0.0,0,0,0
1416710158_CBGObIlh/9KMtown,12.0,1,0,0
1416798301_Vuj2IMlxAogTxCHF,1.0,0,0,0
1416872360_Nk+UmHmnfb0c4xPX,0.0,0,0,0
1416965707_XcGKC4i/tBP3LEeP,0.0,0,0,0
1416984846_7OjAQ9Q/dKvzMf9V,0.0,0,0,0
1416996780_oRmjpw0G40hrXpMI,0.0,0,0,0
1417065433_PVzs8keSP3bNvy5Y,0.0,0,0,0
1417099918_huFv0VuToVr3owG6,1.0,0,0,0
1417143182_z7/bqTsM1P4lfXUQ,17.0,0,0,0
1417144017_n49EH6vfAlYrmMk/,0.0,0,0,0
1417167003_vRJIIhmE72O37/X3,0.0,0,0,0
1417242098_MwzbwRgtGUAB4Usc,0.0,0,0,0
1417343996_l+R93E9+yd2zf3EC,26.0,0,0,0
1417386688_RQv/SmaFMdD1J2s+,4.0,0,0,0
1417393386_vrukmtc/H95W2ZVM,0.0,0,0,0
1417404606_o16X8utkmN5ybUpN,0.0,0,0,0
1417414663_B6XiFnugGNMWhkvn,32.0,1,0,0
1417472158_4b5qiRWeAkOikyi7,2.0,0,0,0
1417509918_t+UNIm5Cae7CU6Dk,0.0,0,0,0
1417517747_PjXEXAoir2ezmMPL,0.0,0,0,0
1417588328_bigFbaM1amNcWIwD,21.0,3,0,0
1417600279_zHk3DoSj7S6COcAq,0.0,1,0,0
1417665487_h/yGsvvU7YFr2Peq,11.0,1,0,0
1417670311_zz0awutBXg8pWMAX,9.0,1,0,0
1417672137_/dPOs6kJRH8q3vMK,0.0,0,0,0
1417674004_Sib6Myc82YaQM2mt,0.0,0,0,0
1417735617_QTN3aF+wiVk3s9dt,1.0,0,0,0
1417742408_LVPDiSQo0m7+GrnN,14.0,1,0,0
1417749551_LyRDjDEKgTaQDIVI,6.0,0,0,0
1417757680_TyjecFkYsVJ5Oeam,0.0,0,0,0
1417837302_vliTEQYvDwTI4IvA,9.0,1,0,0
1417941477_EhLYAb39A9ibHNap,1.0,0,0,0
1418014852_8oUL1XT6gOtlz12Y,0.0,0,0,0
1418016672_W/AbP4hdCMrxUryF,0.0,0,0,0
1418036463_8dV8QsFBlxDVMbr7,0.0,0,0,0
1418042336_l+CWiw2uRy7sisI+,4.0,1,0,0
1418087955_gc9fJCqXCTF+EHsu,2.0,0,0,0
1418097106_Mku4rszki2tVhqQ8,13.0,4,0,0
1418110200_4FnilZlSRnw7SSq2,0.0,0,0,0
1418119043_fQoalnK1yw+q0CL5,4.0,0,0,0
1418183555_i7GTHGXQolJT3lzB,0.0,1,0,0
1418247085_ck+kZWn2cie2zspL,2.0,0,0,0
1418360345_Nrr4yvhtil0TdG95,26.0,1,0,0
1418375728_CK+NPeRXCnz7cD+o,0.0,0,0,0
1418425519_807oQCvcQUnr1oYN,0.0,0,0,0
1418455326_A0Ruzg5CvzT4C1xx,1.0,0,0,0
1418502675_gwqftteO3hyNIdhR,0.0,0,0,0
1418503330_JfOBZ5rNAVlENgsA,0.0,0,0,0
1418613274_wWPKwuJFkCiGwugb,22.0,1,0,0
1418713185_ZnEHyYKWYJH020ts,0.0,0,0,0
1418877546_fmcQA+svrEIdQkZa,2.0,0,0,0
1418951543_MVHzTqLqL42NcAPe,0.0,0,0,0
1419066529_Gh0nXT6cjJG6Isu0,6.0,0,0,0
1419236565_W5fhbnOVi6XwPF1y,2.0,0,0,0
1419295102_pya3983vBkwertwQ,0.0,0,0,0
1419426651_D7eRqHvmWx8PJTOP,0.0,0,0,0
1419491670_V9dHjuLq2zF0Dmbe,0.0,0,0,0
1419722604_zJJV0O80BSLk7A/C,0.0,0,0,0
1419761223_XW9ayRES4vdBybJB,0.0,0,0,0
1419800696_9HMAQ4uPe3Bc5r8G,27.0,1,0,0
1419839758_bXOt1WvFXS4GJ6Es,0.0,0,0,0
1419911500_hmh7oB+Q4gzojCFC,0.0,0,0,0
1420073080_YvmkC8acA2efd2CQ,0.0,0,0,0
1420077592_dztfJaaMcGQ3BDcA,0.0,0,0,0
1420354184_sbRKg7yhCq8Yymok,0.0,0,0,0
1420380760_woYpC7mfNCVxrNOO,0.0,0,0,0
1420421079_StGg2vRiCB5ewV7O,2.0,1,0,0
1420436552_rNrloyANYq85e+5l,0.0,0,0,0
1420714561_e6BoLNOzvLztW+O9,8.0,0,0,0
1420775983_X7gpjOjxGJsgdGl7,0.0,0,0,0
1420959346_8RbNplC6ua8Gh37I,2.0,0,0,0
1420983017_o1Zcx/gSikEPBLT3,15.0,0,0,0
1421206087_SOKRe3s2fFTCx0WC,0.0,0,0,0
1421210347_P3GXNMNkhRBENVzg,5.0,1,0,0
1421231940_cdoTcJSefGj/N1Zv,3.0,1,0,0
1421287925_e3U2dEKG9ZXmfH6s,5.0,0,0,0
1421296371_DT/ZL4uSyx4TZBwR,1.0,1,0,0
1421310164_EAXtCZxqjH7v0zzY,23.0,3,0,0
1421511843_ovtnGtfulVnMqMws,0.0,0,0,0
1421573452_taNpMSEe94euSzHE,0.0,0,0,0
1421644500_BVnpM/gvc7aly10p,0.0,0,0,0
1421648049_6CCj//ye0aDkUoT8,13.0,0,0,0
1421703857_k3GXu7529o+hBYcR,2.0,3,0,0
1421807250_mMQuAEhi+G3stnwa,1.0,1,0,0
1421836283_bX0YtGdM7/LJDsW+,0.0,0,0,0
1421897955_nCIIoL+4epvNb8PW,7.0,0,0,0
1421903295_jh2dIQLbIPfiOQjy,0.0,0,0,0
1421980431_uQZyLFOe79HQNCS/,49.0,2,0,0
1421986801_vxQtgpECf7VdfYMH,2.0,0,0,0
1422176839_yuM1A31Rd70DMC1f,4.0,1,0,0
1422233420_/RU+n0Ki+F6P+zPg,0.0,0,0,0
1422261607_40VOTczQTd1lOIdn,0.0,0,0,0
1422316594_drKvmgsj9eJCYPX0,13.0,1,0,0
1422364159_rIwByMVtWiVoSaCC,0.0,0,0,0
1422395291_UWPwiTrLuogZg3RC,0.0,0,0,0
1422497072_qKoD8z7wncIjHfkG,46.0,2,0,0
1422603466_oiLKLIJEp8sYsgsu,0.0,0,0,0
1422699165_8fmXMiF0OTKL1d92,2.0,0,0,0
1422706315_wHx7Xa18DPp/af+t,4.0,1,0,0
1422833833_oSUX2yLKmuTn+uw5,0.0,0,0,0
1422858503_n2o9u4qaSkEoC6fl,8.0,2,0,0
1422864366_L4O7Pu62aY6KvEdx,0.0,0,0,0
1422874411_BGOnm/J1pwH/o4TI,30.0,1,0,0
